
 *********************************************** 
  ECE 358 - Lab 1: Queue Simulator 
  Kyle Olive - 20378286 - kolive 
  January 14th 2014 
 ************************************************ 

Question #, Row, Simulation Time (s), K, ArrivalCount, DepartureCount, ObserverCount, E[N], E[T], Pidle, Ploss
,0.700000,20000.000000,10.000000,117066,117066,232488,2.135611,0.364832,0.301074,0.009259
,0.700000,40000.000000,10.000000,232399,232399,466545,2.141688,0.368507,0.302494,0.009323
,0.800000,20000.000000,10.000000,130007,130007,265976,2.969148,0.456974,0.219471,0.023634
,0.800000,40000.000000,10.000000,262699,262699,538342,3.033598,0.462648,0.213507,0.024418
,0.900000,20000.000000,10.000000,144142,144142,297168,4.032147,0.561373,0.141529,0.053049
,0.900000,40000.000000,10.000000,282538,282538,598012,3.911029,0.553266,0.149119,0.048412
,1.000000,20000.000000,10.000000,150647,150647,332449,4.897852,0.649946,0.096583,0.089196
,1.000000,40000.000000,10.000000,305533,305533,659306,5.183933,0.679010,0.079296,0.095063
,1.100000,20000.000000,10.000000,157335,157335,364695,5.960057,0.757634,0.053744,0.140809
,1.100000,40000.000000,10.000000,316169,316169,729409,5.944092,0.753047,0.052962,0.139859
,1.200000,20000.000000,10.000000,162107,162107,398744,6.763974,0.834386,0.028540,0.194227
,1.200000,40000.000000,10.000000,322773,322773,799771,6.698580,0.830701,0.030421,0.190583
,1.300000,20000.000000,10.000000,164501,164501,434693,7.353967,0.894337,0.017645,0.246445
,1.300000,40000.000000,10.000000,323722,323722,866566,7.363566,0.909448,0.015781,0.246322
,1.400000,20000.000000,10.000000,165849,165849,463589,7.727155,0.931854,0.010891,0.288202
,1.400000,40000.000000,10.000000,336033,336033,940830,7.780295,0.926342,0.009770,0.290781
,0.500000,20000.000000,40.000000,83101,83101,165275,0.990725,0.238843,0.500892,0.000000
,0.500000,40000.000000,40.000000,163518,163518,335141,0.974497,0.238227,0.506745,0.000000
,0.600000,20000.000000,40.000000,99851,99851,200651,1.539384,0.308746,0.392777,0.000000
,0.600000,40000.000000,40.000000,201538,201538,399150,1.566389,0.311390,0.388481,0.000000
,0.700000,20000.000000,40.000000,116015,116015,235687,2.358212,0.405875,0.305061,0.000000
,0.700000,40000.000000,40.000000,235683,235683,462584,2.423927,0.410991,0.286845,0.000000
,0.800000,20000.000000,40.000000,131778,131778,266509,3.640766,0.553070,0.215115,0.000000
,0.800000,40000.000000,40.000000,269274,269274,535809,4.008436,0.596571,0.196229,0.000063
,0.900000,20000.000000,40.000000,149656,149656,305740,9.036698,1.210586,0.095064,0.002247
,0.900000,40000.000000,40.000000,296660,296660,600401,7.575547,1.018237,0.108226,0.000468
,1.000000,20000.000000,40.000000,161745,161745,332503,20.932428,2.585789,0.022322,0.029142
,1.000000,40000.000000,40.000000,323206,323206,667028,20.779314,2.572968,0.023152,0.028989
,1.100000,20000.000000,40.000000,167629,167629,366003,30.114059,3.594000,0.003074,0.085479
,1.100000,40000.000000,40.000000,332252,332252,738066,31.628348,3.806864,0.001870,0.099952
,1.200000,20000.000000,40.000000,168464,168464,398386,34.315380,4.075861,0.000131,0.148781
,1.200000,40000.000000,40.000000,336570,336570,800762,34.769201,4.133793,0.000044,0.158930
,1.300000,20000.000000,40.000000,166631,166631,429837,36.821591,4.419060,0.000023,0.236880
,1.300000,40000.000000,40.000000,334434,334434,868966,36.582472,4.376085,0.000052,0.226435
,1.400000,20000.000000,40.000000,165467,165467,468508,37.588711,4.544766,0.000034,0.296890
,1.400000,40000.000000,40.000000,328911,328911,932318,37.709013,4.586401,0.000016,0.303386
,0.500000,20000.000000,-1.000000,84049,84049,165504,1.003559,0.237999,0.499390,0.000000
,0.500000,40000.000000,-1.000000,166902,166902,332085,0.990939,0.236838,0.498589,0.000000
,0.600000,20000.000000,-1.000000,100768,100768,198646,1.582549,0.314411,0.387247,0.000000
,0.600000,40000.000000,-1.000000,200253,200253,396834,1.564919,0.312321,0.399739,0.000000
,0.700000,20000.000000,-1.000000,116620,116620,234979,2.368148,0.406330,0.300444,0.000000
,0.700000,40000.000000,-1.000000,234629,234629,468759,2.397019,0.407721,0.296728,0.000000
,0.800000,20000.000000,-1.000000,133185,133185,269021,3.792120,0.571002,0.211582,0.000000
,0.800000,40000.000000,-1.000000,265861,265861,528346,3.854609,0.579201,0.208530,0.000000
,0.900000,20000.000000,-1.000000,149336,149336,301900,8.252537,1.103919,0.104800,0.000000
,0.900000,40000.000000,-1.000000,298589,298589,597899,8.687992,1.166557,0.105438,0.000000
,1.000000,20000.000000,-1.000000,166982,166982,333598,475.530150,57.046817,0.000339,0.000000
,1.000000,40000.000000,-1.000000,332053,332053,666830,115.372138,13.906188,0.004739,0.000000
,1.100000,20000.000000,-1.000000,182883,182883,364592,6777.476335,801.890586,0.000041,0.000000
,1.100000,40000.000000,-1.000000,364555,364555,728165,16042.862388,1931.931949,0.000093,0.000000
,1.200000,20000.000000,-1.000000,201145,201145,402138,16781.004891,2014.625795,0.000010,0.000000
,1.200000,40000.000000,-1.000000,401906,401906,799761,34754.082187,4176.011119,0.000000,0.000000
,1.300000,20000.000000,-1.000000,216920,216920,432092,25216.658235,3026.745662,0.000049,0.000000
,1.300000,40000.000000,-1.000000,433875,433875,873274,51353.098916,6190.838730,0.000010,0.000000
,1.400000,20000.000000,-1.000000,232741,232741,468253,33425.145951,4033.994998,0.000000,0.000000
,1.400000,40000.000000,-1.000000,471606,471606,934967,68083.829159,8089.666299,0.000007,0.000000
Question 6B,,,,,,,,,
,0.400000,20000.000000,5.000000,654982,654982,1341456,0.628093,0.019180,0.606799,0.005510
,0.400000,40000.000000,5.000000,1329499,1329499,2673929,0.653996,0.019663,0.600173,0.007253
,0.500000,20000.000000,5.000000,822188,822188,1664888,0.907365,0.022082,0.507165,0.015960
,0.500000,40000.000000,5.000000,1649706,1649706,3273895,0.937676,0.022735,0.497743,0.016803
,0.600000,20000.000000,5.000000,965390,965390,2005529,1.198082,0.024850,0.420203,0.032053
,0.600000,40000.000000,5.000000,1904650,1904650,4013631,1.179071,0.024775,0.426526,0.031350
,0.700000,20000.000000,5.000000,1105338,1105338,2333700,1.534484,0.027747,0.340075,0.056609
,0.700000,40000.000000,5.000000,2174007,2174007,4722332,1.503368,0.027649,0.345451,0.053249
,0.800000,20000.000000,5.000000,1208444,1208444,2678177,1.813481,0.030028,0.282123,0.084793
,0.800000,40000.000000,5.000000,2435814,2435814,5326414,1.873462,0.030751,0.269376,0.090579
,0.900000,20000.000000,5.000000,1307474,1307474,2997398,2.166047,0.033144,0.217985,0.123557
,0.900000,40000.000000,5.000000,2618641,2618641,5972951,2.240651,0.034227,0.204645,0.129764
,1.000000,20000.000000,5.000000,1386994,1386994,3354840,2.465143,0.035578,0.174214,0.167247
,1.000000,40000.000000,5.000000,2754683,2754683,6678662,2.489083,0.036150,0.168278,0.164603
,1.100000,20000.000000,5.000000,1452403,1452403,3645793,2.801429,0.038578,0.126041,0.212286
,1.100000,40000.000000,5.000000,2892488,2892488,7233358,2.748015,0.038013,0.132922,0.205751
,1.200000,20000.000000,5.000000,1510623,1510623,3983195,3.021730,0.040013,0.098661,0.248671
,1.200000,40000.000000,5.000000,3014204,3014204,8047305,3.042162,0.040364,0.097414,0.251455
,1.300000,20000.000000,5.000000,1527765,1527765,4334415,3.197963,0.041863,0.081176,0.284229
,1.300000,40000.000000,5.000000,3087440,3087440,8798424,3.249686,0.042100,0.077308,0.295348
,1.400000,20000.000000,5.000000,1552937,1552937,4648795,3.398920,0.043784,0.062928,0.329020
,1.400000,40000.000000,5.000000,3114517,3114517,9385444,3.405655,0.043740,0.062593,0.325461
,1.500000,20000.000000,5.000000,1599098,1599098,4999070,3.603555,0.045077,0.045528,0.368790
,1.500000,40000.000000,5.000000,3155970,3155970,9941983,3.609689,0.045751,0.045618,0.376219
,1.600000,20000.000000,5.000000,1593304,1593304,5386200,3.743687,0.046993,0.035123,0.404348
,1.600000,40000.000000,5.000000,3155685,3155685,10746324,3.746475,0.047495,0.036349,0.411917
,1.700000,20000.000000,5.000000,1608238,1608238,5653712,3.813907,0.047429,0.031343,0.426783
,1.700000,40000.000000,5.000000,3215231,3215231,11373094,3.866408,0.048097,0.027895,0.435067
,1.800000,20000.000000,5.000000,1622406,1622406,5999915,3.946372,0.048646,0.022973,0.458056
,1.800000,40000.000000,5.000000,3257326,3257326,11923203,3.930479,0.048267,0.024283,0.457677
,1.900000,20000.000000,5.000000,1619596,1619596,6313419,4.035511,0.049837,0.018205,0.488480
,1.900000,40000.000000,5.000000,3293830,3293830,12630123,4.001303,0.048584,0.020596,0.476807
,2.100000,20000.000000,5.000000,1658068,1658068,6946128,4.147844,0.050040,0.013350,0.525514
,2.100000,40000.000000,5.000000,3278006,3278006,13819110,4.158969,0.050751,0.013345,0.530161
,2.300000,20000.000000,5.000000,1663989,1663989,7699347,4.266159,0.051272,0.009276,0.568736
,2.300000,40000.000000,5.000000,3285168,3285168,15424220,4.294956,0.052297,0.008003,0.575544
,2.700000,20000.000000,5.000000,1665520,1665520,9088490,4.431900,0.053219,0.004331,0.632559
,2.700000,40000.000000,5.000000,3323682,3323682,18009757,4.420813,0.053201,0.004347,0.629939
,3.100000,20000.000000,5.000000,1683242,1683242,10206503,4.526959,0.053789,0.002394,0.673624
,3.100000,40000.000000,5.000000,3360522,3360522,20503851,4.517460,0.053768,0.002648,0.671055
,3.500000,20000.000000,5.000000,1668828,1668828,11662473,4.608968,0.055235,0.001221,0.713922
,3.500000,40000.000000,5.000000,3334038,3334038,23705042,4.609222,0.055298,0.001295,0.717225
,3.900000,20000.000000,5.000000,1668777,1668777,13164871,4.656209,0.055802,0.000876,0.743677
,3.900000,40000.000000,5.000000,3320136,3320136,25836330,4.657283,0.056112,0.000828,0.744259
,4.300000,20000.000000,5.000000,1669171,1669171,14330844,4.695134,0.056258,0.000607,0.767855
,4.300000,40000.000000,5.000000,3379461,3379461,28722596,4.682072,0.055418,0.000653,0.761161
,4.700000,20000.000000,5.000000,1681266,1681266,15634505,4.727610,0.056240,0.000354,0.786270
,4.700000,40000.000000,5.000000,3296012,3296012,31637088,4.736573,0.057483,0.000328,0.790783
,5.100000,20000.000000,5.000000,1674354,1674354,17032263,4.757967,0.056834,0.000230,0.805059
,5.100000,40000.000000,5.000000,3306952,3306952,34061830,4.763117,0.057615,0.000207,0.807939
,5.500000,20000.000000,5.000000,1658498,1658498,18627786,4.779343,0.057636,0.000170,0.818820
,5.500000,40000.000000,5.000000,3353559,3353559,36354797,4.776310,0.056969,0.000159,0.816885
,5.900000,20000.000000,5.000000,1661088,1661088,19736395,4.798203,0.057772,0.000124,0.832363
,5.900000,40000.000000,5.000000,3350867,3350867,39125728,4.798441,0.057281,0.000126,0.831930
,6.300000,20000.000000,5.000000,1648538,1648538,20714764,4.815575,0.058424,0.000084,0.843819
,6.300000,40000.000000,5.000000,3356574,3356574,42005576,4.812142,0.057346,0.000087,0.840928
,6.700000,20000.000000,5.000000,1662928,1662928,22240390,4.827773,0.058064,0.000056,0.851254
,6.700000,40000.000000,5.000000,3347988,3347988,45011164,4.823551,0.057629,0.000064,0.849266
,7.100000,20000.000000,5.000000,1654716,1654716,23508895,4.836358,0.058454,0.000047,0.858420
,7.100000,40000.000000,5.000000,3345145,3345145,46804257,4.833377,0.057796,0.000053,0.857731
,7.500000,20000.000000,5.000000,1673641,1673641,24935960,4.845220,0.057899,0.000035,0.866410
,7.500000,40000.000000,5.000000,3349093,3349093,50011671,4.842002,0.057830,0.000054,0.864141
,7.900000,20000.000000,5.000000,1682335,1682335,26313267,4.854330,0.057710,0.000034,0.872083
,7.900000,40000.000000,5.000000,3317132,3317132,52753110,4.854838,0.058542,0.000035,0.874431
,8.300000,20000.000000,5.000000,1689684,1689684,27659404,4.859928,0.057524,0.000025,0.877705
